IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Transit Building Replacement and Renewal,"This multi-year capital program addresses the need for both larger and smaller scale projects within Transit's existing facilities, stops and stations. These projects are mainly required due to the age and condition of the assets.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"1,000,000",0,2029,,,N,6,,,,,,,
2023,Road Safety Improvement Program (formerly Traffic Engineering Improvements - Various Locations),text,Public Works,Roads - Regional,Program,"$24,512,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"1,264,000",0,2023,,,,,,,,,,,
2023,St Vital Bridge Rehabilitation (DD & Construction),text,Public Works,Bridges - Regional,Project,"$38,800,000",100%,3,Good Health & Well-Being,Renew,Riverview,Fort Rouge - East Fort Garry,POINT (-97.12658634 49.85575884),"15,600,000",0,2023,,,,,,,,,,,
2024,Provencher Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will replace the end-of-life asset and include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,"$8,400,000",0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Central St. Boniface,St. Boniface,POINT (-97.117877 49.891049),0,0,2024,,,Y,15,,,,,,,
2024,Manta build and implement,The investment is to replace the Municipal Assessment and Taxation Application (MANTA) and the Revenue Collection System (RCS) Software. The replacement is required because MANTA and RCS are over 23 years old and at end of life.,Innovation and Technology,Fire & Injury Prevention,Project,$0,0%,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2032,,,N,1,,,,,,,
2023,Equipment Obsolescence,text,Fire Paramedic Service,Fire & Medical Response,Program,"$26,440,000",100%,,Good Health & Well-Being,Renew,,,,"2,994,000",0,2027,,,,,,,,,,,
2024,Customer Care and Billing System (formerly Customer Billing and Work Management Systems Upgrades Program),"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Water,Program,"$7,760,000",100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2024,,,N,2,,,,,,,
2024,Process Control System Master Plan and Upgrade,"This program will develop a plan to ensure operational reliability throughout the upgrades and in the long term once the upgrades are complete. The major components of this program include: maintaining the Distributed Control Systems (DCS) and Human Machine Interface (HMI) systems until replacement, upgrading the inter-plant communication systems and network security components, and replacement of the West End Sewage Treatment Plant DCS and HMI systems.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2027,,,N,1,,,,,,,
2023,Rapid Transit Construction,text,Winnipeg Transit,Public Transit,Program,"$1,260,645,000",0%,,City Building,Growth,,,,0,0,2030,,,,,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2026,,,N,19,,,,,,,
2023,Shoal Lake Aqueduct Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,"$13,300,000",100%,,Environmental Resilience,Renew,,,,"900,000",0,2026,,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"900,000",0,2026,,,N,4,,,,,,,
2023,Brady Road Resource Management Facility - Cell Construction,text,Water and Waste,Solid Waste,Program,"$10,800,000",100%,,Environmental Resilience,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),"1,500,000",0,2028,,,,,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,"$282,132,000",56%,,Economic Prosperity,Operations & Maintenance,,,,"15,670,000","8,656,000",2031,,,,,,,,,,,
2024,Fort Rouge - McFadyen Pedestrian Crossing,The proposed project involves construction of a new pedestrian and cycling bridge over the Assiniboine River and major refurbishment of McFadyen Park and Fort Rouge Park on either side of the bridge.,Public Works,Active Transportation,Project,$0,0%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,0,2030,,,Y,2,,,,,,,
2024,Arlington Bridge Replacement,"The proposed project involves construction of a new three-lane bridge to the west of the existing bridge. The new bridge will include two uni-directional bike lanes and two sidewalks. The project would also include reconstruction of Arlington Street from McDermot Avenue to Selkirk Avenue, as well as the decommissioning and removal of the existing Arlington Bridge.",Public Works,Bridges - Regional,Project,$0,0%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2030,,,Y,7,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2029,,,N,20,,,,,,,
2023,Urban Forest Renewal Program,text,Public Works,Urban Forests,Program,"$120,481,000",67%,,Environmental Resilience,Operations & Maintenance,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.095599 49.901885),"6,000,000","5,857,000",2030,,,,,,,,,,,
2024,Spray Pad Investment Fund,Capital investment is required to construct new spray pads to address service gaps and replace and/or decommission end of service life wading pools. Selected locations will be in alignment with the customer levels of service defined in the Council adopted Wading Pool Rationalization & Spray Pad Reinvestment Strategy and the Winnipeg Recreation Strategy.,Community Services,Recreation,Program,$0,58%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,"4,000,000",0,2027,,,Y,10,,,,,,,
2024,Vacuum Truck Decanting Facility,"Vacuum trucks are specifically designed trucks that periodically assist in cleaning underground sewers and catch basins. These vehicles then transport the solids/trash/debris material that has built up in sewers to Brady Road Resource Management Facility for disposal. In order to meet the liquid waste definition from the licence for Brady Road Resource Management Facility, Licence No 3081 R, the vacuum truck materials must meet specific criteria for disposal. This project includes a feasibility study (2023), interim solution (2024), and design and construction of a dedicated facility (2028) to dewater material from vacuum trucks prior to disposal.",Water and Waste,Wastewater,Project,"$5,950,000",100%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,"400,000",0,2024,,"200,000",N,7,,,,,,,
2023,Traffic Signals Bases Replacements,text,Public Works,Roads - Regional,Program,"$12,500,000",100%,,Good Health & Well-Being,Renew,,,,"1,500,000",0,2032,,,,,,,,,,,
2024,West Kildonan Library Renewal,Repair and renewal of building systems/components and accessibility upgrades at the existing West Kildonan Library.,Community Services,Libraries,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Jefferson,Mynarski,POINT (-97.12778437 49.93670205),0,0,2026,,,N,1,,,,,,,
2024,Digital Enablement,"This program will develop and implement technology solutions that can be leveraged by plant and field employees to perform their work more effectively and efficiently, and provide timely information to the public and 311. This will increase productivity by reducing manual effort, improve accessibility to information, improve accuracy and quality of information, reduce time to record and retrieve information, improve communication, and improve customer service and experience.",Innovation and Technology,Water,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"1,500,000",0,2031,,,N,4,,,,,,,
2024,Feeder Main Condition Assessment and Rehabilitation,"Feeder mains are specialized large diameter pipes used to convey drinking water throughout the City. The majority of feeder mains were installed in the 1960s and require inspection, testing, and maintenance to preserve the asset. Funds are for condition assessment and rehabilitation work, including structural assessments, inspections, purchase of testing equipment, replacement of valves and related components, structural repairs, valve chamber rehabilitation, and restoration works.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"2,950,000",0,2030,,,N,8,,,,,,,
2023,Neighbourhood Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$7,535,000",0%,,Economic Prosperity,Renew,,,,0,"1,350,000",2028,,,,,,,,,,,
2024,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",Consolidation of Station 1 (65 Ellen St.) Station 5 (845 Sargent Ave.) and Station 36 (726 Furby t.) into a single fit-for-purpose station on existing city land,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,0,2026,,,N,8,,,,,,,
2023,Route 90 Improvements - Taylor to Ness,text,Public Works,Roads - Regional,Project,"$558,058,000",0%,5,City Building,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,"38,681,000",2028,Growth-supportive infrastructure,,,,,,,,,,
2024,Parks and Recreation Enhancement Program,"Program is focused on playground restorations, including play equipment and safety surface replacements, along with associated amenity and pathway improvements to enhance accessibility, and other park and recreation enhancements.",Public Works,Parks - Local,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"1,264,000",0,2026,,,Y,1,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2027,,,N,1,,,,,,,
